id,text,timestamp
1,The delivery was very late and my package arrived damaged,2024-02-01 10:30:00
2,Great product but the price is too expensive for what you get,2024-02-01 11:15:00
3,App keeps crashing when I try to open it,2024-02-01 14:20:00
4,Customer support was very helpful and solved my issue quickly,2024-02-02 09:45:00
5,Delivery took 2 weeks longer than expected,2024-02-02 16:30:00
6,The app has too many bugs and errors,2024-02-03 08:10:00
7,I love this product! Quality is amazing,2024-02-03 12:00:00
8,The pricing doesn't make sense compared to competitors,2024-02-04 10:25:00
9,Support team never responded to my email,2024-02-04 15:40:00
10,Shipping was delayed by almost a month,2024-02-05 11:30:00
11,delivery issue occured,2026-02-10 15:23:58
12,delivery chain issue,2026-02-10 15:43:40
13,delivery charge problem,2026-02-10 15:54:26
